Date,PX_LAST,YLD_YTM_MID,Equity,Debt,Debt-VRR,Debt-FAR,Hybrid,Equity.1,Debt.1,Hybrid.1,Solution Oriented,Other,AIF,Total
2011-01-31,97.365,8.545,-4813,10179,,,,,,,,,,5366
2011-02-28,97.65,8.517,-4585,1317,,,,,,,,,,-3268
2011-03-31,99.45,8.349,6896,-16,,,,,,,,,,6880
2011-04-29,98.1,8.475,7211,-16,,,,,,,,,,7195
2011-05-31,96.1,8.668,-6613,2338,,,,,,,,,,-4275
2011-06-30,97.4,8.543,4575,310,,,,,,,,,,4885
2011-07-29,95.6,8.718,8030,2623,,,,,,,,,,10653
2011-08-31,96.8825,8.592,-10836,2932,,,,,,,,,,-7904
2011-09-30,96.87,8.593,-159,-1706,,,,,,,,,,-1865
2011-10-31,92.76,9.007,1678,1404,,,,,,,,,,3082
2011-11-30,91.75,9.114,-4198,932,,,,,,,,,,-3266
2011-12-30,95.0,8.781,100,21775,,,,,,,,,,21875
2012-01-31,96.625,8.619,10355,15970,,,,,,,,,,26325
2012-02-29,97.12,8.57,25212,10015,,,,,,,,,,35227
2012-03-30,95.83,8.696,8382,-6588,,,,,,,,,,1794
2012-04-30,94.75,8.805,-1109,-3789,,,,,,,,,,-4898
2012-06-29,97.0,8.584,-503,1679,,,,,,,,,,1176
2012-07-31,97.2,8.565,10276,3391,,,,,,,,,,13667
2012-08-31,96.55,8.627,10804,264,,,,,,,,,,11068
2012-09-28,98.0675,8.48,19262,623,,,,,,,,,,19885
2012-10-31,99.4,8.354,11365,7853,,,,,,,,,,19218
2012-11-30,98.36,8.453,9579,290,,,,,,,,,,9869
2012-12-31,100.3,8.272,25086,1704,,,,,,,,,,26790
2013-01-31,102.26,8.093,22059,2948,,,,,,,,,,25007
2013-02-28,103.2,8.008,24440,4000,,,,,,,,,,28440
2013-03-29,100.9,8.215,9125,5796,,,,,,,,,,14921
2013-04-30,101.25,8.183,5413,5334,,,,,,,,,,10747
2013-05-31,108.9,7.525,22168,5968,,,,,,,,,,28136
2013-06-28,105.13,7.84,-11027,-33135,,,,,,,,,,-44162
2013-07-31,96.0,8.686,-6087,-12039,,,,,,,,,,-18126
2013-12-31,89.135,9.42,16087,5291,,,,,,,,,,21378
2014-05-30,92.8,9.019,14007,19771,,,,,,,,,,33778
2014-06-30,96.0,8.69,13990,16715,,,,,,,,,,30705
2014-07-31,95.9,8.7,13110,22935,,,,,,,,,,36045
2014-09-30,96.39,8.65,5104,15869,,,,,,,,,,20973
2014-10-31,99.4,8.355,-1172,17901,,,,,,,,,,16729
2014-11-28,101.3,8.177,13756,11723,,,,,,,,,,25479
2014-12-31,103.69,7.96,1036,11189,,,,,,,,,,12225
2015-01-30,106.38,7.722,12919,20768,,,,,,,,,,33687
2015-02-27,106.35,7.724,11475,13089,,,,,,,,,,24564
2015-03-31,105.04,7.837,12076,8649,,,,,,,,,,20725
2015-04-30,104.0,7.929,11721,3610,,,,,,,,,,15331
2015-05-29,103.5,7.974,-5769,-8503,,,,,,,,,,-14272
2015-06-30,101.59,8.15,-3344,1737,,,,,,,,,,-1607
2015-07-31,102.55,8.06,5321,2,,,,,,,,,,5323
2015-08-31,102.99,8.019,-16878,-646,,,,,,,,,,-17524
2015-09-30,104.85,7.851,-6477,690,,,,,,,,,,-5787
2015-10-30,104.55,7.877,6649,15703,,,,,,,,,,22352
2015-11-30,102.95,8.022,-7074,-3754,,,,,,,,,,-10828
2015-12-31,102.27,8.085,-2818,-5489,,,,,,,,,,-8307
2016-02-29,100.0,8.298,-5522,-8194,,,,,,,,,,-13716
2016-03-31,103.8,7.942,21142,-1477,,,,,,,,,,19665
2016-04-29,105.0,7.834,8415,6418,,,,,,,,,,14833
2016-05-31,104.4,7.888,2542,-4409,,,,,,,,,,-1867
2016-06-30,105.8,7.763,3714,-6221,,,,,,,,,,-2507
2016-07-29,109.6,7.435,12611,6847,,,,,,,,,,19458
2016-08-31,110.96,7.32,9071,-2626,,,,,,,,,,6445
2016-09-30,112.85,7.165,10444,9789,,,,,,,,,,20233
2016-10-31,112.8,7.168,-4306,-6000,,,,,,,,,,-10306
2016-11-30,117.7,6.784,-18244,-21151,,,,,,,,,,-39395
2016-12-30,117.5,6.799,-8177,-18933,,,,,,,,,,-27110
2017-01-31,112.0,7.229,-1177,-2319,,,,,,,,,,-3496
